Species,Habitat,Hindlimb length (mm),Tail length (mm),Body length (mm),Toepad lamellae (count),Island
A. ahli,Trunk-ground,50.46,81.99,51.67,27,Cuba
A. alayoni,Twig,25.5,54.75,41.32,31,Cuba
A. alfaroi,Grass-bush,26.17,79,30.95,24,Cuba
A. aliniger,Trunk-crown,36.8,84.88,51.53,36,Hispaniola
A. allisoni,Trunk-crown,50.39,154.45,72.32,41,Cuba
A. allogus,Trunk-ground,49.37,91.01,51.72,28,Cuba
A. alumina,Grass-bush,29.97,106.4,32.94,29,Hispaniola
A. alutaceus,Grass-bush,27.39,94.62,31.84,28,Cuba
A. angusticeps,Twig,24.37,65.1,40.22,28,Cuba
A. armouri,Trunk-ground,51.81,101.37,56.11,31,Hispaniola
A. bahorucoensis,Grass-bush,38.71,115.82,41.81,32,Hispaniola
A. bremeri,Trunk-ground,47.44,114.01,55.65,32,Cuba
A. breslini,Trunk-ground,49.84,122.85,52.29,29,Hispaniola
A. chlorocyanus,Trunk-crown,48.55,142.12,65.44,42,Hispaniola
A. clivicola,Grass-bush,34.79,98.75,39.03,26,Cuba
A. confusus,Trunk-ground,41.63,78.31,46.72,32,Cuba
A. cooki,Trunk-ground,48.5,134.57,54.45,33,Puerto Rico
A. cupeyalensis,Grass-bush,22.88,93.9,29.01,24,Cuba
A. cyanopleurus,Grass-bush,31.38,111.68,34.32,26,Cuba
A. dolichocephalus,Grass-bush,39.49,131.27,45.34,36,Hispaniola
A. grahami,Trunk-crown,48.71,119.78,57.97,38,Jamacia
A. guafe,Trunk-ground,39.09,69.45,43.95,29,Cuba
A. guazuma,Twig,20.46,39.79,39.24,28,Cuba
A. gundlachi,Trunk-ground,58.32,136.13,59.97,28,Puerto Rico
A. haetianus,Trunk-ground,65.48,154.41,68.19,33,Hispaniola
A. hendersoni,Grass-bush,38.53,128.81,43.19,34,Hispaniola
A. homolechis,Trunk-ground,44.97,90.92,51.34,32,Cuba
A. imias,Trunk-ground,51.67,104.67,54.89,28,Cuba
A. inexpectatus,Grass-bush,26.8,101.12,31.28,27,Cuba
A. insolitus,Twig,26.13,50.77,40.7,25,Hispaniola
A. jubar,Trunk-ground,41.08,82.15,47.38,29,Cuba
A. krugi,Grass-bush,40.53,130.76,44.35,33,Puerto Rico
A. lineatopus,Trunk-ground,52.71,119.97,56.5,29,Jamacia
A. longitibialis,Trunk-ground,61.92,140.36,63.29,28,Hispaniola
A. macilentus,Grass-bush,31.8,97.35,37.39,28,Cuba
A. marcanoi,Trunk-ground,49.24,123.95,53.79,33,Hispaniola
A. mestrei,Trunk-ground,44.93,92.11,49.05,30,Cuba
A. opalinus,Trunk-crown,35.67,82.15,42.27,35,Jamacia
A. ophiolepis,Grass-bush,26.88,81.13,34.59,24,Cuba
A. placidus,Twig,20,47.96,39.63,26,Hispaniola
A. poncensis,Grass-bush,33.39,118.2,41.52,29,Puerto Rico
A. porcatus,Trunk-crown,44.58,140.26,64.37,44,Cuba
A. quadriocellifer,Trunk-ground,39.05,82.2,45.03,28,Cuba
A. rubribarbus,Trunk-ground,50.43,93.94,53.74,29,Cuba
A. sagrei,Trunk-ground,45.47,111.9,53.14,33,Cuba
A. semilineatus,Grass-bush,33.99,121.61,36.68,30,Hispaniola
A. shrevei,Trunk-ground,43.61,102.53,48.85,28,Hispaniola
A. singularis,Trunk-crown,38.42,102.34,52.65,38,Hispaniola
A. strahmi,Trunk-ground,65.24,138.87,65.36,31,Hispaniola
A. stratulus,Trunk-crown,34.38,77.93,43.62,34,Puerto Rico
A. vanidicus,Grass-bush,26.45,90.6,34.19,23,Cuba
A. whitemani,Trunk-ground,51.06,115.26,54.77,29,Hispaniola
