Shark,Tagging date,Total length(cm),Sex,Maturity,Pop-up date,Track days,Longitude(°),Latitude(°),Comment
1-M,19-Oct-99,402,M,Mature,2-Nov-99,14,-124.49,38.95,Nearshore
2-M,30-Oct-99,366,M,Adolescent,25-Nov-99,26,-125.97,38.69,Nearshore
3-M,16-Oct-00,457,M,Mature,16-Apr-01,182,-156.8,20.67,To Hawaii
4-M,5-Nov-01,457,M,Mature,6-May-02,182,-141.47,26.39,To Hawaii
5-F,5-Nov-01,488,F,Mature,19-Jul-02,256,-133.25,21.13,Offshore focal area
6-M,5-Nov-01,427,M,Mature,7-Aug-02,275,-138.83,26.5,Offshore focal area
7-F,5-Nov-01,442,F,Adolescent,10-Dec-01,35,-123.09,37.07,Nearshore
8-M,15-Nov-01,380,M,Mature,14-Jan-02,60,131.71,34.93,Initiated migration
9-M,15-Nov-01,450,M	,Mature,12-Jun-02,209,-134.22,25.04,Offshore focal area
10-F,15-Nov-02,530,F,Mature,14-Feb-03,91,-134.69,26.81,Offshore focal area
11-U,24-Sep-03,427,?,n/a,24-Mar-04,182,-134.18,25.2,Offshore focal area
12-M,27-Oct-03,396,M,Mature,23-Jun-04,240,-156.39,20.97,Hawaii; pop-up position only
13-U,31-Oct-03,488,?,Mature,1-Nov-04,367,-147.1,24.8,Offshore focal area
14-M,5-Nov-04,457,M	,Mature,9-Apr-05,155,-124.2,22.3,Offshore focal area
15-M,5-Nov-04,457,M	,Mature,10-Apr-05,156,-132.29,22.67,Offshore focal area
16-M,5-Nov-04,427,M,Mature,10-May-05,186,-127.71,22.06,Offshore focal area
17-U,5-Nov-04,360,?,Adolescent,6-Sep-05,305,-122.45,37.1,Return migration
18-F,30-Nov-04,396,F,Adolescent,12-Jun-05,194,n/a,n/a,To Hawaii
19-F,30-Nov-04,490,F,Mature,3-May-05,154,-136.73,27.59,Offshore focal area
20-F,3-Dec-04,426,F,Adolescent,8-Feb-05,67,-122.87,37.77,Nearshore
