BearID,Capture Date,Popn,Sex,AgeClass,Mating,Denning,den_method,Lat,Long,NoCubs,CubAge,Urea Nitrogen,Creatinine
21706,2017-03-24,CS,F,25,unknown,unknown,NA,66.927,-165.5213,NA,NA,33.50,1.35
21730,2017-04-02,CS,F,18,unknown,unknown,NA,66.9965,-166.5012,NA,NA,40.50,1.15
6398,1985-04-28,SB,F,A,no,yes,coy,70.3833,-147.6333,1,C0,12.33,0.57
6280,1989-04-11,SB,F,A,no,yes,coy,70.3333,-146.1833,1,C0,39.50,0.90
6384,1991-04-13,SB,F,A,no,yes,coy,70.0167,-149.5,1,C0,3.00,1.45
6606,1992-04-02,SB,F,A,no,yes,coy,70.1833,-144.333,1,C0,4.50,1.60
6520,1992-04-18,SB,F,A,no,yes,coy,70.9,-145.2333,1,C0,30.00,0.85
20459,2000-03-17,SB,F,A,no,yes,coy,70.5136,-149.1389,1,C0,4.00,0.95
6559,2000-04-12,SB,F,A,no,yes,coy,69.96,-141.8174,1,C0,18.00,1.10
6160,2001-04-25,SB,F,A,no,yes,coy,70.5107,-141.0177,1,C0,4.50,0.85
20629,2003-04-16,SB,F,A,no,yes,coy,70.4916,-144.9511,1,C0,10.00,1.00
20721,2004-04-17,SB,F,A,no,yes,coy,70.5792,-145.7824,1,C0,5.50,1.60
20876,2007-04-01,SB,F,A,no,yes,coy,71.1445,-153.3283,1,C0,5.00,1.30
20182,2008-04-09,SB,F,A,no,yes,coy,71.4658,-156.1059,1,C0,10.00,0.80
20354,2009-04-16,SB,F,A,no,yes,coy,70.7277,-145.3252,1,C0,29.50,0.65
20333,2009-04-19,SB,F,A,no,yes,coy,70.2029,-144.9327,1,C0,5.00,1.10
21024,2009-04-25,SB,F,A,no,yes,coy,70.4684,-146.6511,1,C0,29.00,0.70
32257,2009-04-29,SB,F,A,no,yes,coy,71.0793,-151.2083,1,C0,20.00,0.65
20764,2009-05-01,SB,F,A,no,yes,coy,70.837,-149.1815,1,C0,19.50,1.20
20446,2009-05-17,SB,F,A,no,yes,coy,70.1752,-142.732,1,C0,26.00,0.75
21045,2009-05-19,SB,F,A,no,yes,coy,70.7201,-148.1984,1,C0,29.00,0.50
32267,2010-04-14,SB,F,A,no,yes,coy,69.999,-141.3648,1,C0,18.00,0.95
21522,2011-04-21,CS,F,A,no,yes,coy,67.1724,-165.7836,1,c0,30.50,0.80
21083,2011-04-27,CS,F,A,no,yes,coy,67.2025,-166.7636,1,C0,5.50,1.05
32698,2012-04-12,SB,F,A,no,yes,coy,70.1288,-145.4422,1,C0,16.00,1.05
21264,2012-04-12,SB,F,A,no,yes,coy,70.1277,-145.7006,1,C0,4.00,1.50
20525,2013-04-17,SB,F,A,no,yes,coy,71.0041,-146.448,1,C0,19.00,1.80
22309,2015-04-23,SB,F,A,no,yes,coy,70.3643,-147.0432,1,c0,5.00,1.35
21109,2009-04-17,CS,F,A,no,no,NA,67.6909,-165.4754,1,C1,39.50,0.70
21143,2010-03-19,CS,F,A,no,no,NA,68.0459,-167.0154,1,C1,41.00,1.00
21188,2010-04-22,CS,F,A,no,no,NA,67.8414,-166.8412,1,C1,20.50,0.80
6091,1983-04-19,SB,F,A,no,no,older cubs,70.5,-146.5,1,C1,20.00,0.50
1504,1984-03-28,SB,F,A,no,no,older cubs,71.5333,-155.5333,1,C1,4.67,0.63
1796,1984-05-05,SB,F,A,no,no,older cubs,70.3167,-141.5833,1,C1,40.00,0.85
6458,1985-03-15,SB,F,A,unknown,no,older cubs,69.55,-138.5167,1,C2,69.00,1.25
1600,1985-03-26,SB,F,A,unknown,no,older cubs,70.7,-145.6,1,C2,12.00,1.23
6204,1985-05-06,SB,F,A,no,no,older cubs,70.5667,-145.55,1,C1,14.50,1.35
6063,1985-05-15,SB,F,A,no,no,older cubs,71.0667,-147.7,1,C1,26.50,1.45
6521,1987-04-09,SB,F,A,no,no,older cubs,70.3,-143.6833,1,C1,19.00,1.05
6528,1987-04-12,SB,F,A,no,no,older cubs,70.2,-143.0333,1,C1,11.00,0.67
6375,1987-04-22,SB,F,A,no,no,older cubs,70.6333,-149.6167,1,C1,19.00,0.70
6736,1988-03-12,CS,F,A,unknown,no,older cubs,63.7667,-170.2833,1,C2,36.00,0.80
6747,1988-03-18,CS,F,A,no,no,older cubs,66.5667,-166.25,1,C1,26.00,1.30
6551,1988-03-23,SB,F,A,no,no,older cubs,71.1667,-147.8333,1,C1,45.67,1.23
6754,1988-03-25,CS,F,A,unknown,no,older cubs,67.2833,-165.4167,1,C2,3.00,0.95
6757,1988-03-28,CS,F,A,no,no,older cubs,69.3,-168.2333,1,C1,4.67,0.93
6504,1988-05-01,SB,F,A,no,no,older cubs,71.25,-151.9,1,C1,29.00,0.70
1548,1989-03-28,SB,F,A,no,no,older cubs,71.0167,-148.8667,1,C1,6.00,1.00
6220,1989-04-13,SB,F,A,no,no,older cubs,70.75,-143.9667,1,C1,7.00,0.90
6796,1990-03-03,CS,F,A,unknown,no,older cubs,64.04,-169.42,1,C2,9.33,1.03
6802,1990-03-06,CS,F,A,no,no,older cubs,63.43,-172.15,1,C1,14.50,1.30
6862,1990-03-14,CS,F,A,unknown,no,older cubs,64.22,-171.08,1,C2,4.00,0.90
6222,1991-03-31,SB,F,A,no,no,older cubs,70.2667,-143.3333,1,C1,4.00,0.90
1737,1991-04-07,SB,F,A,no,no,older cubs,70.2833,-143.6,1,C1,35.00,1.20
6932,1992-03-22,CS,F,A,unknown,no,older cubs,70.3833,-162.1833,1,C2,26.00,1.05
6930,1998-04-15,SB,F,A,unknown,no,older cubs,70.9333,-147.4,1,C2,8.50,1.50
20335,1998-04-19,SB,F,A,unknown,no,older cubs,70.2333,-137.2,1,C2,14.50,0.65
9965,1999-04-14,SB,F,A,unknown,no,older cubs,70.7965,-147.8376,1,C2,17.00,1.20
20345,2001-03-23,SB,F,A,no,no,older cubs,70.7484,-148.1546,1,C1,19.67,1.20
20441,2002-03-20,SB,F,A,unknown,no,older cubs,71.1564,-153.1997,1,C2,4.50,1.45
20164,2002-04-06,SB,F,A,no,no,older cubs,70.9196,-147.8254,1,C1,5.00,1.55
20171,2002-04-10,SB,F,A,no,no,older cubs,71.2378,-149.8897,1,C1,5.33,1.00
20224,2003-03-29,SB,F,A,no,no,older cubs,71.6142,-154.786,1,C1,3.00,0.95
20502,2003-04-03,SB,F,A,no,no,older cubs,70.9579,-146.4001,1,C1,24.00,0.85
9412,2004-04-03,SB,F,A,unknown,no,older cubs,71.5447,-156.2068,1,C2,16.00,1.25
20211,2004-04-05,SB,F,A,no,no,older cubs,71.301,-154.1332,1,C1,9.00,1.20
20230,2004-04-14,SB,F,A,no,no,older cubs,70.8005,-146.9373,1,C1,3.00,1.05
20224,2004-04-23,SB,F,A,unknown,no,older cubs,70.572,-147.762,1,C2,48.50,1.10
20792,2005-04-14,SB,F,A,no,no,older cubs,70.8324,-150.6558,1,C1,10.00,1.10
20413,2006-04-17,SB,F,A,no,no,older cubs,70.7465,-148.6902,1,C1,3.00,1.10
6520,2006-05-04,SB,F,A,no,no,older cubs,70.6882,-149.4127,1,C1,3.50,0.80
20116,2008-03-27,CS,F,A,no,no,older cubs,68.0295,-165.7898,1,C1,11.00,0.70
21052,2008-03-29,CS,F,A,unknown,no,older cubs,68.9914,-166.0419,1,c2,12.50,0.55
21060,2008-04-10,CS,F,A,no,no,older cubs,67.3791,-166.4797,1,C1,18.00,0.95
21004,2009-04-03,SB,F,A,no,no,older cubs,71.5021,-155.7594,1,C1,11.00,1.20
20688,2009-04-15,CS,F,A,unknown,no,older cubs,67.7916,-165.8689,1,c2,20.50,1.00
21030,2009-05-03,SB,F,A,no,no,older cubs,70.515,-147.3042,1,C1,10.00,0.55
20157,2009-05-06,SB,F,A,no,no,older cubs,70.6778,-148.2376,1,C1,11.50,0.60
20776,2010-03-29,SB,F,A,no,no,older cubs,70.9929,-158.4832,1,C1,5.33,1.07
20992,2010-04-01,SB,F,A,no,no,older cubs,71.5071,-156.9909,1,C1,10.50,0.75
21219,2010-04-18,SB,F,A,unknown,no,older cubs,70.9218,-143.0287,1,C2,10.50,0.95
21184,2010-04-19,CS,F,S ,unknown,no,older cubs,67.0159,-166.239,1,C2,31.50,0.80
21152,2011-03-22,SB,F,A,unknown,no,older cubs,71.3674,-155.5162,1,C2,14.50,0.95
21229,2011-03-23,SB,F,A,no,no,older cubs,71.0979,-154.1277,1,C1,30.00,1.30
21491,2011-03-26,CS,F,S ,no,no,older cubs,67.6608,-165.4019,1,C1,13.50,0.95
21489,2011-03-26,CS,F,A,no,no,older cubs,67.682,-165.6878,1,C1,8.50,1.15
21233,2011-03-28,SB,F,A,no,no,older cubs,71.4452,-156.3547,1,C1,3.67,1.33
32255,2011-04-07,SB,F,A,no,no,older cubs,70.265,-144.4051,1,C1,11.50,1.05
21251,2011-04-08,SB,F,A,no,no,older cubs,70.2606,-144.3387,1,C1,22.50,0.90
21505,2011-04-11,CS,F,A,no,no,older cubs,67.2401,-165.7516,1,C1,9.00,1.20
21512,2011-04-14,CS,F,A,unknown,no,older cubs,66.5983,-165.2702,1,C2,11.00,1.05
21520,2011-04-20,CS,F,A,no,no,older cubs,66.9909,-165.4765,1,C1,25.50,1.00
21528,2011-04-22,CS,F,A,no,no,older cubs,66.733,-165.4943,1,C1,11.00,1.00
32227,2012-04-07,SB,F,A,unknown,no,older cubs,70.7671,-143.2587,1,C2,20.50,1.15
21339,2013-04-01,SB,F,A,unknown,no,older cubs,71.6621,-155.4196,1,c2,19.00,0.70
21556,2013-04-03,CS,F,A,no,no,older cubs,67.7912,-166.7429,1,C1,6.50,1.00
21364,2014-03-31,SB,F,A,no,no,older cubs,71.6659,-156.2063,1,C1,37.50,0.90
20525,2014-04-07,SB,F,A,no,no,older cubs,71.0721,-146.7139,1,C1,21.00,0.75
21307,2015-05-07,SB,F,A,no,no,older cubs,70.7088,-147.7898,1,c1,7.50,1.05
21654,2016-03-26,CS,f,A,yes,no,older cubs,67.5723,-167.5972,1,C2,9.00,0.95
21656,2016-03-28,CS,f,A,no,no,older cubs,67.5087,-167.8084,1,C1,4.00,1.10
20971,2016-04-01,SB,F,A,no,no,older cubs,70.6688,-147.0817,1,c2,4.00,0.90
21180,2016-04-06,CS,f,A,no,no,older cubs,67.0715,-166.4683,1,C1,35.50,0.95
21681,2016-04-13,CS,F,A,no,no,older cubs,66.7379,-166.9146,1,C1,21.50,0.80
21692,2016-04-14,CS,F,A,no,no,older cubs,67.0708,-166.8612,1,C2,23.00,0.85
21688,2016-04-14,CS,F,A,no,no,older cubs,67.5238,-165.378,1,C1,15.00,0.95
21690,2016-04-15,CS,F,A,no,no,older cubs,67.1753,-165.9317,1,C1,16.00,0.80
6212,1987-04-10,SB,F,A,unknown,no,temp,71.6,-151.9333,1,C2,5.00,0.87
6521,1988-03-30,CS,F,A,unknown,no,temp,69.2333,-163.9333,1,C2,30.50,1.00
6524,1988-04-13,SB,F,A,no,yes,temp,70.05,-144.0833,1,C0,7.33,1.00
6384,1992-04-15,SB,F,A,no,no,temp,71.4,-147.7667,1,C1,7.00,1.00
6953,1993-02-27,CS,F,A,no,no,temp,63.2,-173.13,1,C1,3.00,1.23
6951,1993-03-01,CS,F,A,no,no,temp,67.13,-167.01,1,C1,2.50,1.00
6700,2001-04-08,SB,F,A,no,yes,temp,70.5075,-146.652,1,C0,2.00,0.95
6524,2003-03-24,SB,F,A,unknown,no,temp,71.396,-157.7471,1,C2,7.50,1.05
20527,2003-04-08,SB,F,A,no,no,temp,70.7596,-147.7626,1,C1,5.00,1.45
20534,2009-04-27,SB,F,A,no,yes,temp,70.5503,-147.3865,1,C1,30.00,0.80
20474,2009-04-30,SB,F,A,no,no,temp,70.914,-150.4817,1,C1,24.00,0.70
21109,2010-03-20,CS,F,A,unknown,no,temp,67.9399,-166.4681,1,C2,25.00,0.60
21024,2010-03-26,SB,F,A,no,no,temp,71.4892,-154.4273,1,C1,10.00,1.10
21083,2010-03-28,CS,F,A,no,no,temp,66.7764,-165.716,1,C1,36.50,0.75
