ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
23807,Gida,0.25,female,Unknown Mix,2019-12-10,2019-12-11,2019-12-11,red,short,small,no,,,,,,,
533,Frida És Ricsi,0.17,female,Unknown Mix,2019-12-01,2019-12-01,2019-12-09,black and white,short,small,no,,yes,yes,yes,yes,yes,
23793,,4.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,short,medium,no,,,,,,,
23795,,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,,,,,,,
23806,Amy,2.0,female,French Bulldog Mix,2019-12-10,2019-12-11,2019-12-11,black,short,small,no,,,,,,,
23801,Alex,4.25,male,Unknown Mix,2019-12-09,2019-12-24,2019-12-09,yellow-brown,short,small,yes,,,,,,,
534,Ricsi És Frida,0.17,male,Unknown Mix,2019-12-01,2019-12-01,2019-12-09,brown,short,small,no,,yes,yes,yes,yes,yes,
23805,,0.17,female,Unknown Mix,2019-12-10,2019-12-25,2019-12-11,gray and white,short,medium,no,,,,,,,
23809,,0.17,female,Unknown Mix,2019-12-11,2019-12-26,2019-12-12,black,medium,medium,no,,,,,,,
1801,Újhartyáni Mazsi,0.17,female,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,brown and white,short,small,no,,yes,yes,yes,yes,yes,flat
1222,Vasi,3.67,male,Vizsla Mix,2019-10-25,2019-10-25,2019-12-12,red,short,medium,yes,,,,,,,
23792,,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,medium,medium,no,,,,,,,
23797,,5.0,female,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,brown,long,small,no,,,,,,,
1800,Újhartyáni Frenki,0.17,male,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,tricolor,short,small,no,,yes,yes,yes,yes,yes,flat
532,Fickó,1.5,male,"Bull Terrier, Dachshund Mix",2019-12-01,2019-12-01,2019-12-09,brown and white,short,medium,yes,,yes,yes,no,no,no,
23796,,8.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,black,medium,medium,no,,,,,,,
1802,Újhartyáni Bori,0.17,female,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,tricolor,short,small,no,,yes,yes,yes,yes,yes,flat
1799,Dabasi Ixorn,0.83,male,Unknown Mix,2019-12-05,2019-12-05,2019-12-09,black,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
23794,,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,,,,,,,
1393,Gizmo,0.5,male,Unknown Mix,2019-12-08,2019-12-10,2019-12-10,spotty,medium,small,yes,,,,,,,
23788,Sába,7.58,female,Kuvasz,2019-12-01,2019-12-16,2019-12-08,white,medium,large,yes,,,,,,,
4492,Döme,1.0,male,Unknown Mix,2019-11-25,2019-11-25,2019-12-07,black,medium,medium,,,yes,,,,yes,both flat and garden
4484,Jocelyn,0.17,female,Unknown Mix,2019-11-27,2019-11-27,2019-12-07,apricot,short,small,,,yes,,yes,yes,,both flat and garden
23787,,0.67,female,Unknown Mix,2019-12-07,2019-12-22,2019-12-07,yellow-brown,wirehaired,medium,no,,,,,,,
4487,Katica,0.58,female,Unknown Mix,2019-12-03,2019-12-03,2019-12-07,black,short,small,,,yes,,,,,both flat and garden
4491,Bethany,5.0,female,Chinese Shar-Pei Mix,2019-11-28,2019-11-28,2019-12-07,black and brown,short,medium,,,yes,,,,,both flat and garden
4486,Cotta,0.15,female,Staffordshire Terrier Mix,2019-12-01,2019-12-01,2019-12-07,brown and white,short,medium,,,yes,,yes,yes,,both flat and garden
4488,Kehlani,0.42,female,German Shepherd Dog Mix,2019-12-01,2019-12-01,2019-12-07,black and brown,short,medium,,,yes,,,,,both flat and garden
23790,,6.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,medium,medium,no,,,,,,,
1798,Kakucsi Szikra,2.42,male,Hungarian Vizsla,2019-12-07,2019-12-07,2019-12-07,brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
4489,Crosby,1.0,male,"Komondor, Puli Mix",2019-11-27,2019-11-27,2019-12-07,golden,medium,medium,,,yes,,,,,both flat and garden
23784,,0.58,male,"Bull Terrier, Staffordshire Terrier Mix",2019-12-06,2019-12-21,2019-12-07,striped,short,medium,no,,,,,,,
23789,,0.33,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,black,short,small,no,,,,,,,
4490,Bowen,1.0,male,Unknown Mix,2019-11-22,2019-11-22,2019-12-07,brown,medium,large,,,yes,,,,,both flat and garden
4485,Panna,0.15,female,Staffordshire Terrier Mix,2019-12-01,2019-12-01,2019-12-07,striped,short,medium,,,yes,,yes,yes,,both flat and garden
1795,Szolnoki Joker,1.0,male,Fox Terrier Mix,2019-12-07,2019-12-07,2019-12-07,black and white,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
1797,Sátoraljaújhelyi Dingó,2.0,male,Unknown Mix,2019-12-05,2019-12-05,2019-12-07,yellow,short,medium,no,,yes,yes,yes,yes,,both flat and garden
4483,Valentin,0.67,male,Unknown Mix,2019-12-03,2019-12-03,2019-12-07,apricot,short,small,,,yes,,,,,both flat and garden
1796,Szolnoki Chris,1.0,male,Fox Terrier Mix,2019-12-07,2019-12-07,2019-12-07,brown and white,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
23791,,4.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,,,,,,,
23778,Pufi,8.0,male,Unknown Mix,2019-12-02,2019-12-17,2019-12-02,wild boar,short,small,no,,,,,,,
1048,Velencei Fiffi,9.25,female,Afghan Hound,2019-12-01,2019-12-04,2019-12-03,brown,long,medium,yes,yes,yes,,,,,flat
2138,Szálkás Kan Kölyök,0.5,male,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,brown,wirehaired,medium,yes,,,,,,,
1793,Szakáldi Báró,1.42,male,Unknown Mix,2019-12-03,2019-12-03,2019-12-05,brown and white,short,medium,no,,yes,yes,no,yes,,both flat and garden
23777,,0.25,male,Unknown Mix,2019-12-02,2019-12-17,2019-12-02,black and tan,wirehaired,small,no,,,,,,,
2137,Hónapos Keverék Kan,0.5,male,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,tricolor,medium,medium,yes,,,,,,,
2154,Kormi,6.5,male,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,black,short,medium,yes,,,,,,,
23780,,0.25,female,Unknown Mix,2019-12-04,2019-12-19,2019-12-04,saddle back,medium,medium,no,,,,,,,
1049,Velencei Shyne On,8.42,female,American Bulldog,2019-12-01,2019-12-04,2019-12-03,striped,short,medium,yes,yes,yes,,,,,both flat and garden
2153,Lili,3.5,female,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,brown,short,medium,yes,,,,,,,
530,Beagle Keverék Kutyusok,0.17,male,Beagle Mix,2019-11-01,2019-11-01,2019-11-30,black and brown,short,medium,no,,yes,yes,yes,yes,,
2136,Hónapos Szuka,0.5,female,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,brown,short,medium,yes,,,,,,,
531,Beagle Keverék Kutyus,0.17,female,Beagle Mix,2019-11-01,2019-11-01,2019-11-30,brown and white,short,medium,no,,yes,yes,yes,yes,,
23774,,1.58,male,Unknown Mix,2019-12-01,2019-12-16,2019-12-01,yellow-brown,wirehaired,small,no,,,,,,,
1794,Sátoraljaújhelyi Gesztenye,1.42,male,"Hungarian Vizsla, Staffordshire Terrier Mix",2019-12-05,2019-12-05,2019-12-05,brown,short,medium,no,,yes,yes,yes,yes,,both flat and garden
1792,Kakucsi Henrik,1.42,male,Terrier Mix,2019-12-01,2019-12-01,2019-12-01,yellow-brown,medium,small,no,,yes,yes,yes,yes,yes,both flat and garden
7927,Sajóörsi Foxi És Maxi,0.17,male,Unknown Mix,2019-12-05,2019-12-06,2019-12-05,black and brown,short,small,no,,,,,,,
2152,Elsa,2.33,female,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,brown,short,medium,yes,,,,,,,
1047,Velencei Gavallér,9.17,male,Hungarian Greyhound,2019-12-01,2019-12-04,2019-12-03,brown and white,short,large,yes,yes,yes,,,,,flat
23776,,1.58,male,Unknown Mix,2019-12-01,2019-12-16,2019-12-01,yellow-brown,wirehaired,small,no,,,,,,,
1046,Nagyhalászi Szellõ,0.5,female,Greyhound Mix,2019-11-27,2019-11-30,2019-11-27,yellow,short,medium,,,,,,,,flat
4481,Allegra,0.42,female,Unknown Mix,2019-11-28,2019-11-28,2019-11-28,black and brown,short,small,,,yes,,yes,yes,,both flat and garden
1791,Dabasi Bors,1.0,male,Staffordshire Terrier Mix,2019-11-28,2019-11-28,2019-11-28,brown,short,medium,no,,yes,yes,yes,yes,,both flat and garden
1787,Inárcsi Hektor,0.25,male,"German Shepherd Dog, Staffordshire Terrier Mix",2019-11-24,2019-11-24,2019-11-25,yellow-brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
23757,Vlad,0.17,male,Unknown Mix,2019-11-27,2019-12-12,2019-11-27,yellow-brown,short,small,no,,,,,,,
23756,Zsömi,6.0,male,Unknown Mix,2019-11-26,2019-12-11,2019-11-26,yellow-brown,short,medium,no,,,,,,,
4482,Pongólina,0.58,female,Unknown Mix,2019-11-15,2019-11-15,2019-11-28,apricot,short,medium,,,yes,,yes,yes,yes,both flat and garden
1041,Pola,2.0,female,"English Greyhound, Spanish Greyhound Mix",2019-11-17,2019-11-18,2019-11-25,yellow,short,medium,yes,yes,yes,,,,,flat
1042,Bongó,2.0,male,Greyhound Mix,2019-11-17,2019-11-18,2019-11-25,black and white,short,medium,yes,,,,,,,both flat and garden
4480,Lummia,0.33,female,Unknown Mix,2019-11-25,2019-11-25,2019-11-28,black,short,medium,,,yes,,yes,yes,,both flat and garden
1220,King,2.92,male,Dachshund Mix,2019-09-20,2019-09-20,2019-11-25,wild boar,short,medium,yes,,yes,yes,yes,yes,,flat
1044,Duster,1.0,male,Greyhound Mix,2019-11-17,2019-11-18,2019-11-25,yellow,short,medium,,,yes,,,,,flat
1045,Barcsi Detre,0.5,male,Greyhound Mix,2019-11-26,2019-11-30,2019-11-27,striped,short,medium,,,,,,,,flat
23761,,2.0,male,Unknown Mix,2019-11-27,2019-12-08,2019-11-28,black,long,medium,no,,,,,,,
1043,Babóca,2.0,female,Greyhound Mix,2019-11-17,2019-11-17,2019-11-25,spotty,short,medium,yes,,,,,,,
23762,,4.0,male,Unknown Mix,2019-11-27,2019-12-08,2019-11-28,black,medium,medium,no,,,,,,,
1788,Szolnoki Sanyi,1.0,male,Terrier Mix,2019-11-26,2019-11-26,2019-11-27,black and white,short,small,no,,yes,yes,yes,yes,,both flat and garden
1790,Újszászi Ász,4.0,male,Fox Terrier Mix,2019-11-26,2019-11-26,2019-11-28,black and white,short,small,no,,yes,yes,no,yes,,both flat and garden
1789,Szolnoki Puszedli,1.42,female,Unknown Mix,2019-11-26,2019-11-26,2019-11-27,black and brown,medium,small,no,,yes,yes,yes,yes,,both flat and garden
2135,Szálkás Szuka,0.5,female,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,black and tan,wirehaired,small,yes,,,,,,,
4475,Chance,1.25,male,Unknown Mix,2019-11-09,2019-11-09,2019-11-17,black,short,medium,,,yes,,yes,yes,,both flat and garden
4476,Hope,1.25,male,Unknown Mix,2019-11-09,2019-11-09,2019-11-17,black,short,medium,,,yes,,yes,yes,,both flat and garden
1082,Nelly,3.08,female,Unknown Mix,2019-05-10,2019-05-10,2019-11-21,black and white,short,medium,yes,,yes,,,,,both flat and garden
23746,,0.25,female,Unknown Mix,2019-11-21,2019-12-06,2019-11-21,gray and white,short,medium,no,,,,,,,
23751,Pici,1.0,male,Unknown Mix,2019-11-22,2019-11-22,2019-11-22,yellow-brown,short,medium,yes,,,,,,,
1039,Gyõri Tictac,1.58,male,Greyhound Mix,2019-10-18,2019-11-20,2019-11-19,black and white,short,medium,yes,,yes,,,,,both flat and garden
23754,,1.0,male,Staffordshire Terrier Mix,2019-11-25,2019-12-10,2019-11-25,black and white,short,medium,,,,,,,,
23745,Tigris,5.0,male,Unknown Mix,2019-11-21,2019-11-21,2019-11-21,striped,short,medium,yes,,,,,,,
4479,Gomez,0.5,male,Unknown Mix,2019-11-11,2019-11-11,2019-11-17,white,short,small,,,yes,,yes,yes,,both flat and garden
1083,Aliz,5.58,female,Unknown Mix,2019-08-10,2019-08-10,2019-11-21,yellow-brown,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
4477,Sebastian,0.17,male,Unknown Mix,2019-11-12,2019-11-12,2019-11-17,apricot,short,small,,,yes,,yes,yes,,both flat and garden
3,Vacok,2.42,male,"Dachshund, Fox Terrier Mix",2019-06-12,2019-06-12,2019-11-24,apricot,short,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
1785,Kakucsi Pötyi,0.33,female,"Chinese Shar-Pei, Dachshund Mix",2019-11-18,2019-11-18,2019-11-19,apricot,short,medium,,,yes,yes,yes,yes,yes,both flat and garden
1085,Doc,0.58,male,Unknown Mix,2019-05-15,2019-05-15,2019-11-21,tricolor,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
1086,Speedy,1.25,male,Unknown Mix,2019-02-14,2019-02-14,2019-11-21,gray and black,medium,small,yes,,yes,yes,yes,yes,,both flat and garden
4478,Charlotte,3.08,female,Unknown Mix,2019-10-31,2019-10-31,2019-11-17,black and white,short,small,,,yes,,,,,both flat and garden
529,Chili,0.17,female,Staffordshire Terrier,2019-10-01,2019-10-01,2019-11-24,golden,short,medium,yes,,yes,yes,yes,yes,,
1786,Mártélyi Bence,0.75,male,Bull Terrier Mix,2019-11-17,2019-11-25,2019-11-24,striped,short,medium,,,yes,,yes,yes,,flat
1783,Dabasi Kócos,7.0,female,Fox Terrier Mix,2019-11-18,2019-11-18,2019-11-19,black and white,wirehaired,small,no,yes,yes,no,yes,yes,no,both flat and garden
23752,,0.25,male,Unknown Mix,2019-11-24,2019-12-09,2019-11-25,striped,short,medium,,,,,,,,
