Breed,type,score,popularity ranking,size,intelligence,congential ailments,score for kids,size,$LIFETIME COST,INTELLIGENCE RANK,INTELLIGENCE %,LONGEVITY(YEARS),NUMBER OF GENETIC AILMENTS,GENETIC AILMENTS,PURCHASE PRICE,FOOD COSTS PER YEAR,GROOMING FREQUNCY,SUITABILITY FOR CHILDREN
Border Terrier,terrier,3.61,61,1,Above average,none,4.99,small,"$22,638 ",30,70%,14,0,none,$833 ,$324 ,Once a week,1
Cairn Terrier,terrier,3.53,48,1,Above average,"'lion jaw', heart problems  ",4.91,small,"$21,992 ",35,61%,13.84,2,"'lion jaw', heart problems  ",$435 ,$324 ,Once a week,1
Siberian Husky,working,3.22,16,2,Average,none,4.72,medium,"$22,049 ",45,45%,12.58,0,none,$650 ,$466 ,Once in a few weeks,1
Welsh Springer Spaniel,sporting,3.34,81,2,Above average,hip problems,4.71,medium,"$20,224 ",31,69%,12.49,1,hip problems,$750 ,$324 ,Once a week,1
English Cocker Spaniel,sporting,3.33,51,2,Excellent,none,4.7,medium,"$18,993 ",18,82%,11.66,0,none,$800 ,$324 ,Once a week,1
Cocker Spaniel,sporting,3.3,27,1,Excellent,"eye, skin problems",4.67,small,"$24,330 ",20,79%,12.5,2,"eye, skin problems",$465 ,$674 ,Once a week,1
Lhasa Apso,non-sporting,3.21,50,1,Fair,'dry eye',4.58,small,"$22,031 ",68,15%,13.92,1,dry eye,$350 ,$324 ,Once a week,1
English Springer Spaniel,sporting,3.09,29,2,Excellent,"hip, eye, skin problems; enzyme deficiency",4.47,medium,"$21,946 ",13,86%,12.54,4,"hip, eye, skin problems; enzyme deficiency",$615 ,$466 ,Once a week,1
Shetland Sheepdog,herding,3.22,20,1,Brightest,"eye problems, deafness, skin + heart problems, blood clotting disorders",4.47,small,"$21,006 ",6,94%,12.53,5,"eye problems, deafness, skin + heart problems, blood clotting disorders",$465 ,$405 ,Daily,1
West Highland White Terrier,terrier,3.08,32,1,Average,"'lion jaw', 'dry eye', skin problems",4.45,small,"$20,490 ",47,41%,12.8,3,"'lion jaw', 'dry eye', skin problems",$538 ,$324 ,Once a week,1
Brittany,sporting,3.54,30,2,Excellent,none,4.42,medium,"$22,589 ",19,80%,12.92,0,none,$618 ,$466 ,Once a week,2
German Shorthaired Pointer,sporting,3.03,15,3,Excellent,hip problems,4.41,large,"$25,842 ",17,84%,11.46,1,hip problems,$545 ,$971 ,Once a week,1
Pointer,sporting,3.03,74,3,Average,hip problems,4.4,large,"$24,445 ",43,49%,12.42,1,hip problems,$294 ,$710 ,Once a week,1
Tibetan Spaniel,non-sporting,3.02,73,1,Average,none,4.4,small,"$25,549 ",46,43%,14.42,0,none,"$1,050 ",$466 ,Once a week,1
Labrador Retriever,sporting,2.97,1,2,Brightest,"elbows, hips, eyes",4.35,medium,"$21,299 ",7,93%,12.04,3,"elbows, hips, eyes",$810 ,$466 ,Once a week,1
Bichon Frise,non-sporting,3.03,34,1,Average,none,4.28,small,"$19,735 ",45,45%,12.21,0,none,$693 ,$324 ,Daily,1
Irish Setter,sporting,2.84,56,3,Above average,"hip, eye problems",4.21,large,"$20,323 ",35,61%,11.63,2,"hip, eye problems",$525 ,$466 ,Once a week,1
Samoyed,working,2.8,55,2,Above average,hip problems,4.18,medium,"$25,352 ",33,68%,12.44,1,hip problems,"$1,162 ",$710 ,Once a week,1
Shih Tzu,toy,2.93,11,1,Lowest,eye problems,4.18,small,"$21,152 ",70,13%,13.2,1,eye problems,$583 ,$324 ,Daily,1
Golden Retriever,sporting,2.8,4,2,Brightest,"elbows, hips, eyes, heart ",4.17,medium,"$21,447 ",4,97%,12.04,4,"elbows, hips, eyes, heart ",$958 ,$466 ,Once a week,1
Chesapeake Bay Retriever,sporting,2.78,40,3,Above average,hip problems,4.16,large,"$16,697 ",27,75%,9.48,1,hip problems,$522 ,$466 ,Once a week,1
Papillon,toy,3.26,33,1,Brightest,"cataracts, hair loss, heart, eye, blood clotting disorders",4.13,small,"$21,001 ",8,92%,13,5,"cataracts, hair loss, heart, eye, blood clotting disorders",$740 ,$324 ,Once a week,2
Gordon Setter,sporting,2.73,69,3,Above average,hip problems,4.1,large,"$19,605 ",34,64%,11.1,1,no data,$700 ,$466 ,Once a week,1
English Setter,sporting,2.72,65,3,Above average,"deafness, hip problems",4.09,large,"$20,312 ",37,56%,11.57,2,"deafness, hip problems",$615 ,$466 ,Once a week,1
Pug,toy,2.72,26,2,Fair,'dry eye',4.09,medium,"$18,527 ",57,29%,11,1,'dry eye',$469 ,$405 ,Once a week,1
Affenpinscher,toy,3.2,84,1,Above average,none,4.07,small,"$18,333 ",37,56%,11.42,0,none,$510 ,$324 ,Once in a few weeks,2
Miniature Schnauzer,terrier,3.19,12,1,Excellent,"liver, sinus problems",4.07,small,"$20,087 ",12,87%,11.81,2,"liver, sinus problems",$715 ,$405 ,Once a week,2
